Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,88,179,244,201,236,152,253,107,70,88,113,39,1,3
Albania,3730,892,614,3239,695,966,5239,5486,1339,659,1189,5396,2570,745
Algeria,3469,3010,3831,4374,4470,5415,5202,7972,10467,2606,8344,10913,6927,6759
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,2,1,0,23,2,7,2,5,3,1,1,8,3,0
Angola,101251,61066,52528,71314,93483,77063,145370,103612,166084,159980,183126,180860,168868,175407
Anguilla,4,0,1,9,4,1,9,10,2,0,1,2,1,0
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,24,18,17,25,61,61,37,46,62,19,26,33,21,22
Argentina,147806,105002,249155,433429,367249,316447,425345,592753,309858,413230,499187,478177,376776,204999
Armenia,132,173,394,83,104,130,54,113,203,162,174,198,42,38
Aruba,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Australia,218827,312157,373853,124778,177035,186315,372720,205728,203722,290739,121325,139817,260094,215880
Austria,6923,10901,14474,14604,21645,12572,31666,26895,15870,16714,18085,11146,7642,7018
Azerbaijan,553,1154,1041,585,246,525,508,472,372,550,147,597,149,324
Bahamas,433,701,274,588,1450,1016,605,1949,824,401,625,371,1573,487
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,4614,4006,2172,4303,3310,6930,4038,4539,5679,4793,4277,5423,6107,8930
Barbados,12,11,3,8,10,4,32,14,13,17,18,117,5,2
Belarus,18351,25379,32110,38547,36169,42263,32633,35892,35534,35727,45355,39586,28083,27332
Belgium,969,2341,1880,4778,3018,6898,5975,7179,5161,10899,5012,5625,3301,3467
Belize,8212,13474,6844,4312,8104,4270,12264,8216,10264,9766,26386,11527,16373,14497
Benin,3749,3480,3476,684,1591,1795,4660,482,4929,529,655,2865,1313,1175
Bermuda,0,1,0,1,0,0,0,0,0,1,0,1,1,1
Bhutan,299,219,544,1022,777,625,507,776,1179,4357,1092,773,490,983
Bolivia,140321,178808,163757,203252,250749,216314,189953,369850,225270,451759,330239,273544,179823,220470
Bonaire Sint Eustatius and Saba,3,2,16,0,1,7,1,1,1,2,9,3,4,1
Bosnia and Herzegovina,1496,693,308,4122,574,536,2681,1552,1296,911,971,2434,2574,1310
Botswana,131,23,9,51,49,40,34,26,41,30,21,16,14,16
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2746361,3507048,3248527,3848769,3486561,2876804,2621819,2444307,1817901,2688895,1923363,2918632,1945506,2262241
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,4,3,2,3,4,3,6,7,5,4,15,1,3,1
Brunei,1244,1089,799,1197,1278,1014,1565,1300,2169,967,2620,1814,871,1773
Bulgaria,8260,4690,5262,8246,6628,5226,9616,6499,6150,3654,3426,10070,3765,4768
Burkina Faso,59,4,2,9,17,5,3,5,5,7,15,0,0,0
Burundi,1418,987,1326,614,986,344,1862,2000,883,1905,961,871,1406,1557
Cambodia,28490,54862,56835,79248,64650,80503,77678,83486,121034,237875,192136,195568,190109,123779
Cameroon,39258,28765,25330,23006,25154,35999,45925,35154,36084,58016,27630,51275,84609,140853
Canada,1358166,2316894,1607287,2706468,2920803,2406199,2117907,1949013,1550377,2104883,2160708,2545502,2807347,2075559
Cape Verde,7,23,9,1,5,6,1,0,8,1,16,9,10,4
Cayman Islands,21,6,6,47,9,18,18,32,30,40,40,9,18,8
Central African Republic,31283,34423,13746,14589,29329,57890,37317,31857,48262,48576,49125,57332,44207,48984
Chad,839,1956,194,453,471,2977,999,3389,1031,253,920,2492,2894,2180
Chile,72711,78081,82844,85729,106926,91923,121652,123068,88566,91495,99350,174809,102243,108248
China,230281,249150,261759,501515,383585,575225,652958,737957,599578,627800,598566,604945,441297,383592
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clipperton Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,229816,182042,122305,253531,188565,189790,268856,231669,237740,196921,189719,227481,138750,165507
Comoros,37,41,27,40,87,13,78,35,112,92,123,127,1730,1152
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,15462,13289,8261,9767,16563,10059,11448,21875,22465,13145,10496,10367,7786,9024
Cote d'Ivoire,122711,144560,86282,48048,65321,97780,90865,127555,108876,92492,124684,96129,175759,269175
Croatia,3378,2340,1739,6727,2747,2204,3237,3891,2903,3499,2919,5004,2998,3229
Cuba,18943,15036,6557,21974,12834,12305,7874,17084,16260,8608,16313,10345,6072,4018
Curacao,1,1,1,1,1,3,4,5,5,2,1,7,6,1
