country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,1.023018724,0.368970982,-0.174798921,0.171728308,-0.356581776,0.66504191,-0.578130933,-0.345363113,0.254347718,0.29023906,-0.660775944,-0.996724107
Albania,-0.760913993,-0.311460547,4.275690611,-0.785470466,0.390493065,4.422149816,0.047075088,-0.75597063,-0.507590914,0.804406159,3.474011118,-0.797384975
Algeria,-0.132302917,0.272973266,0.141649798,0.021812017,0.211614482,-0.039486965,0.532682923,0.312949213,-0.75106948,2.202336567,0.241878449,-0.496583641
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,-0.241317616,-0.727444155,65.03851351,-0.893925452,1.764654533,-0.672572497,1.419419111,-0.456293098,-0.620186349,-0.157295426,7.241498148,-0.583336369
Angola,-0.396886488,-0.139818539,0.35764181,0.310873808,-0.175644146,0.886375761,-0.287256893,0.60294893,-0.036755655,0.144683549,-0.055006038,-0.175219064
Anguilla,-0.962271205,6.501863637,7.065621092,-0.586778336,-0.639989628,5.55620514,0.203241559,-0.816905839,-0.769237665,1.333761045,0.142891014,-0.437579084
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,-0.266598703,-0.032737752,0.490995789,1.402111919,-0.000220446,-0.392370515,0.229771634,0.346519922,-0.688989948,0.350116565,0.219431643,-0.588771606
Argentina,-0.28959565,1.372860287,0.739598047,-0.152689635,-0.138331593,0.344127039,0.393581387,-0.477256443,0.33361382,0.208010663,-0.059035925,-0.25693739
Armenia,0.313842489,1.279331911,-0.78877608,0.248354082,0.24741232,-0.581034429,1.079299465,0.793601416,-0.201230716,0.075499689,0.097335865,-0.85245604
Aruba,0,0.857143588,-1,0,0,-1,0,0,-1,0,0,-1
Australia,0.426497905,0.19764477,-0.666238508,0.418806632,0.052418091,1.000480347,-0.448036991,-0.009749495,0.427137115,-0.582699665,0.112654934,0.679482727
Austria,0.574742345,0.327710473,0.009012087,0.482128801,-0.419189263,1.518789215,-0.150660545,-0.409924447,0.053186862,0.081997058,-0.40376787,-0.433131112
Azerbaijan,1.084651326,-0.097940469,-0.438026874,-0.578917974,1.132665675,-0.033260063,-0.069753785,-0.212744589,0.478711839,-0.732136673,2.996054526,-0.848346541
Bahamas,0.618884809,-0.608787155,1.144541062,1.465723707,-0.299509987,-0.404584383,2.222901889,-0.577284621,-0.51376501,0.559473869,-0.431140687,3.197803798
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,-0.13168313,-0.457797423,0.980922272,-0.230771958,1.093622539,-0.417284132,0.123999972,0.251154976,-0.156058639,-0.107708054,0.026980118,0.073582953
Barbados,-0.078874714,-0.73684566,1.775168673,0.144086142,-0.566902856,6.672409011,-0.566313907,-0.032937179,0.316401687,0.038654784,5.421621813,-0.958813339
Belarus,0.383018791,0.265189119,0.200481017,-0.061685733,0.168486943,-0.227873746,0.099895735,-0.009979598,0.005430342,0.269473573,-0.136646594,-0.332710116
Belgium,1.416980575,-0.196918992,1.541333929,-0.368235362,1.285459708,-0.133881177,0.201520177,-0.2810621,1.111779824,-0.540174528,0.11321172,-0.468854536
Belize,0.64081655,-0.492053538,-0.36991158,0.879240409,-0.473117599,1.872199047,-0.330050351,0.249275268,-0.048526001,1.70187626,-0.572167034,0.378207587
Benin,-0.071784504,-0.001224324,-0.803330819,1.327485294,0.128036919,1.596215444,-0.896656045,9.235990448,-0.892631007,0.236998265,3.341532592,-0.6116004
Bermuda,2.666429158,-0.818137012,3.999295583,-0.50006207,-0.799895319,-1,0,1.333188642,0.999954615,-0.857291073,2.50405675,1.71410344
Bhutan,-0.267458579,1.480735605,0.87903348,-0.239542907,-0.196146369,-0.188573507,0.531698514,0.518609307,2.694892979,-0.749421681,-0.391751849,-0.540491782
Bolivia,0.274278555,-0.084171752,0.241176288,0.233687791,-0.137329354,-0.121864584,0.9470639,-0.390915235,1.00541014,-0.268992874,-0.183579206,-0.380233355
Bonaire Saint Eustatius and Saba,-0.305225489,6.66699232,-0.981585633,2.721008002,5.235706702,-0.904221941,-0.105906217,0.618056368,1.533600005,2.636345907,-0.642769227,0.197144572
Bosnia and Herzegovina,-0.537025898,-0.555608925,12.3907316,-0.860834379,-0.065630697,4.003025435,-0.421291028,-0.164618796,-0.297528893,0.065863051,1.393800623,-0.284968026
Botswana,-0.826297983,-0.623829395,4.925579647,-0.033495702,-0.183070484,-0.163264993,-0.223374971,0.585551488,-0.261945173,-0.297263373,-0.263426795,-0.170055916
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0.276980099,-0.07371469,0.184773557,-0.094110213,-0.17488757,-0.088634908,-0.067705677,-0.256271625,0.479121053,-0.284701397,0.469832893,-0.391468924
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,-1
British Virgin Islands,-0.267821453,-0.390135999,0.439709395,0.416755555,-0.254949123,1.210444042,0.142803513,-0.260377882,-0.23945245,2.888965945,-0.942850094,1.583197007
Brunei,-0.124771854,-0.266033015,0.497961796,0.067557743,-0.206960175,0.544042641,-0.169312629,0.668771558,-0.554279883,1.709642392,-0.318743103,-0.571346466
Bulgaria,-0.432260555,0.122080473,0.566934236,-0.196117921,-0.211563779,0.839928958,-0.324164341,-0.053627587,-0.405905478,-0.062455712,1.696340543,-0.722216011
Burkina Faso,-0.927654332,-0.526310553,3.221816992,0.964855698,-0.718645712,-0.397090268,0.658772192,-0.047458675,0.535238164,1.201838563,-0.975341756,-0.400413068
Burundi,-0.303850893,0.343736618,-0.53681851,0.604540871,-0.651338374,4.41882115,0.073771913,-0.558314342,1.156820608,-0.495505258,-0.180728459,0.342544148
Cambodia,0.925641087,0.03596976,0.394356553,-0.184214088,0.245227994,-0.035100879,0.074773209,0.449749041,0.965364623,-0.192279953,0.001235821,-0.074877312
Cameroon,-0.267290015,-0.119390415,-0.091782872,0.093391604,0.431125628,0.275749967,-0.234543493,0.026459345,0.607811991,-0.52374764,0.647839676,0.51188967
