country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.0430271,0.0870447,0.1191616,0.0983323,0.1152188,0.0741338,0.123436,0.0520738,0.0340894,0.04276,0.0551706,0.0187152,6.130905
Albania,0.5744714,0.137348,0.0945695,0.4989198,0.107033,0.1488287,0.8069715,0.8449597,0.206195,0.1015322,0.1832054,0.8196634,0.1660761
Algeria,0.283483,0.2459774,0.3131227,0.3574764,0.3652737,0.4425709,0.4250952,0.6515361,0.8554339,0.2129436,0.681917,0.8468581,0.4263222
American Samoa,,,,,,,,,,,,,
Andorra,0.0087045,0.0066039,0.0017999,0.1188665,0.0126087,0.0348587,0.0114137,0.0276145,0.0150142,0.0057026,0.0048056,0.0396054,0.0165021
Angola,0.1830427,0.1103955,0.0949601,0.1289219,0.1690003,0.1393164,0.2628031,0.1873111,0.3002501,0.2892142,0.3310588,0.3128486,0.2580315
Anguilla,0.1824499,0.0068836,0.0516399,0.4165082,0.1721102,0.0619614,0.406232,0.4887953,0.0894955,0.0206522,0.0481973,0.0550842,0.0309805
Antarctica,,,,,,,,,,,,,
Antigua and Barbuda,0.124586,0.0913715,0.0883802,0.1317745,0.3165373,0.3164675,0.192295,0.2364789,0.3184236,0.0990329,0.133706,0.1630453,0.0670488
Argentina,0.3781462,0.2686367,0.6374374,1.1088849,0.9395697,0.8095975,1.0882019,1.516498,0.7927395,1.0572084,1.277119,1.2017231,0.8929555
Armenia,0.0390524,0.0513087,0.1169497,0.0247025,0.0308375,0.0384671,0.0161164,0.0335108,0.0601051,0.0480101,0.0516348,0.0566608,0.0083599
Aruba,0,2.1084444,3.9156841,0,0,0.903668,0,0,1.5060582,0,0,0.6024464,0
Australia,0.5172101,0.7377992,0.8836214,0.2949187,0.4184327,0.4403661,0.8809439,0.4862484,0.4815077,0.6871776,0.2867594,0.3190643,0.535863
Austria,0.1596869,0.2514658,0.3338737,0.3368826,0.4993035,0.2900008,0.730451,0.6204008,0.3660833,0.3855542,0.4171685,0.2487292,0.1409968
Azerbaijan,0.0436395,0.0909731,0.0820632,0.0461173,0.0194191,0.0414146,0.0400371,0.0372444,0.0293208,0.0433571,0.0116137,0.0464092,0.0070381
Bahamas,0.1426332,0.2309067,0.0903336,0.1937243,0.4776706,0.3346034,0.1992281,0.6420927,0.2714224,0.1319751,0.2058117,0.1170779,0.4914701
Bahrain,,,,,,,,,,,,,
Bangladesh,0.2354344,0.2044317,0.1108434,0.2195721,0.168901,0.3536151,0.2060571,0.2316082,0.2897777,0.2445554,0.2182148,0.2241023,0.2405924
Barbados,0.2364834,0.2178309,0.0573231,0.1590814,0.1820028,0.0788249,0.6047769,0.2622833,0.2536444,0.333898,0.3468047,2.2270489,0.0917247
Belarus,0.2015079,0.2786892,0.3525946,0.4232831,0.3971726,0.464091,0.3583368,0.3941331,0.3901998,0.3923188,0.4980383,0.4299831,0.2869233
Belgium,0.1121124,0.2709736,0.2176137,0.5530292,0.3493843,0.7985037,0.6915991,0.8309703,0.597416,1.2616111,0.5801209,0.6457974,0.3430123
Belize,0.4696973,0.7706871,0.3914678,0.2466593,0.4635321,0.2442269,0.7014684,0.4699485,0.587095,0.5586056,1.5092834,0.6457212,0.8899378
Benin,2.2242224,2.0645577,2.06203,0.4055377,0.9438831,1.064735,2.7642815,0.2856717,2.9241337,0.3139612,0.3883695,1.6861191,0.654888
Bermuda,0.0323744,0.1186985,0.0215868,0.1079191,0.0539528,0.0107962,0,0.0323871,0.0755653,0.1511272,0.0215672,0.0755727,0.2051121
Bhutan,0.0115958,0.0084944,0.0210725,0.0395959,0.030111,0.0242048,0.0196404,0.0300832,0.0456847,0.1688,0.0422976,0.0257274,0.0118219
Bolivia,0.2174794,0.2771293,0.2538029,0.3150141,0.3886291,0.3352589,0.2944027,0.5732209,0.3491401,0.7001692,0.5118286,0.4178675,0.2589803
Bonaire Saint Eustatius and Saba,0.1246607,0.086611,0.6640465,0.0122279,0.0455004,0.2837276,0.0271748,0.0242968,0.0393137,0.0996052,0.3621993,0.1293887,0.154897
Bosnia and Herzegovina,0.0562873,0.0260596,0.0115806,0.1550734,0.0215808,0.0201645,0.1008836,0.0583822,0.0487714,0.0342605,0.036517,0.0874145,0.0625041
Botswana,0.6435034,0.1117778,0.0420475,0.249156,0.2408104,0.1967251,0.1646067,0.1278377,0.2026933,0.1495988,0.1051285,0.0774348,0.0642666
Bouvet Island,,,,,,,,,,,,,
Brazil,0.5289728,0.6754878,0.6256944,0.7413062,0.6715417,0.5540974,0.504985,0.4707947,0.3501434,0.5179044,0.3704563,0.5445089,0.3313506
British Indian Ocean Territory,,,,,,,,,,,,,
British Virgin Islands,0.0548307,0.0401458,0.0244835,0.0352491,0.0499394,0.0372074,0.0822449,0.0939898,0.0695169,0.0528709,0.2056133,0.0117507,0.0303545
Brunei,0.2356008,0.2062045,0.1513473,0.2267124,0.2420286,0.1919383,0.296361,0.2461833,0.4108237,0.1831124,0.4961691,0.3380186,0.1448929
