,Author,Title,label
0,,"_Come Gather Around Together_: An Examination of Radio Listening Groups in Fulbari, Nepal",0
1,,A Discussion of impact evaluation results and recommendations,0
2,,A Methodology for Evaluating Complex Development Projects: the case of an Agricultural Development Project in Guinea,0
3,,A National evaluation of Safe Schools/Healthy Students: outcomes and influences,0
4,,A Spatial Propensity Score Matching Evaluation of the Social Impacts of Sugarcane Growing on Municipalities in Brazil,0
5,,Achieving Equity in Health through Community-based Health Insurance: India's Experience with a Large CBHI Programme,0
6,,Achieving social change on gender-based violence: A report on the impact evaluation of Soul City_s fourth series,0
7,,Adoption and Impact of Hybrid Wheat in India,0
8,,Adult Education and Development,0
9,,Africa_s Education Enigma? The Nigerian story,0
10,,Agricultural Households and Conflict Displacement: Evidence from a Policy Intervention in Rwanda,0
11,,Aiding Violence or Peace? The Impact of foreign Aid on the Risk of Civil Conflict in Sub-Saharan Africa,0
12,,An agriculture and health inter-sectorial research process to reduce hazardous pesticide health impacts among smallholder farmers in the Andes,0
13,,An Evaluation of The Impact of A School Nutrition Programme in Vietnam,0
14,,An Evaluation of the Peruvian _Youth Labor Training Program_ - PROJOVEN,0
15,,An Impact Analysis of Microfinance in Bosnia and Herzegovina,0
16,,An impact evaluation of a citizen / community report card on performance in health care delivery in Uganda,0
17,,Anemia in Rural China _ s Elementary Schools: Prevalence and Correlates in Ningxia and Qinghai _ s Poor Counties,0
18,,"Antiretroviral Therapy Awareness and Risky Sexual Behaviors Evidence from Mozambique, (November",0
19,,Approach Paper To GEF- Impact Evaluation Document No. 1,0
20,,Assessing The Impact of Infrastructure on Firm Productivity In Africa,0
21,,Assessing The Impact of Infrastructure Quality on Firm Productivity In Africa Cross-Country Comparisons Based on Investment Climate Surveys from To,0
22,,Assessing the Impact of Participation in Women Self-help Group-based Microfinance: Non-experimental Evidences from Rural Households in India,0
23,,Assessing the Impact of the National Agricultural Advisory Services ( NAADS),0
24,,Assessing the Potential of Fair Trade for Poverty Reduction and Conflict Prevention: A Case Study of Bolivian Coffee Producers,0
25,,Bagian Dalam Cover Depan,0
26,,"Baseline Report Impact Evaluation of the Northern Uganda Social Action Fund Youth Opportunities Project , Uganda Results from the Baseline Individual and Group Surveys,",0
27,,Baseline Report on the Evaluation of Familias en Accion,0
28,,"Behavioral Responses To Changes Accompanying Reform: A Q-Squared Analysis from Than Hoa Province, Vietnam",0
29,,Between Air Quality and Infant Mortality: An Empirical Study for Mexico,0
30,,"Breast Feeding Practices In Urban and Rural Health Centres: Impact of Baby Friendly Hospital Initiative In Ile-Ife, Nigeria",0
31,,Breast-feeding trends and the breast-feeding promotion programme in the Philippines,0
32,,"Bringing Electoral Politics To The Doorstep: Who Gains, Who Loses?",0
33,,Broadening Access To Primary Education: Contract Teacher Programs and Their Impacts on Education Outcomes In Africa- An Econometric Evaluation for The Republic of Niger,0
34,,Building A Palliative Care Program In Ethiopia: The Impact on HIV and AIDS Patients and Their Families,0
35,,Building Effective Partnerships: A National Evaluation of The Cancer Information Service Outreach Program,0
36,,Bulgaria at A Crossroads: Environmental Impacts of Socioeconomic Change,0
37,,Burden of Disease and Circulating Serotypes of Rotavirus Infection In Sub-Saharan Africa: Systematic Review and Meta-Analysis,0
38,,Campaigning Against Female Genital Mutilation In Ethiopia Using Popular Education,0
39,,Can Education Subsidy Reverse Falling Fertility? The Case of Taiwan,0
40,,Can information alone change behavior? Response to arsenic contamination of groundwater in Bangladesh,0
41,,Can innovative health financing policies increase access to MDG-related services? Evidence from Rwanda,0
42,,"Can School Teachers Improve The Management and Prevention of Skin Disease? A Pilot Study Based on Head Louse Infestations In Guerrero, Mexico",0
43,,Can The Millennium Development Goals Database Be Used To Measure The Effects of Globalisation on Women_s Health In Sub-Saharan Africa? A Critical Analysis,0
44,,Can We Reduce The Spread of HIV Infection By Suppressing Herpes Simplex Virus Type 2 Infection?,0
45,,Capacity Development for Health Research In Pakistan: The Effects of Doctoral Training,0
46,,Career Escalation Training: Five-Year Follow-Up,0
47,,Case Study: Reducing Biodiversity Loss at Cross- Border Sites In East Africa Project,0
48,,Case-control studies of the effect of environmental sanitation on diarrhoea morbidity: methodological implications of field studies in Africa and Asia,0
49,,Cash Transfer and Microfinance Interventions for Tuberculosis Control: Review of The Impact Evidence and Policy Implications,0
50,,"Cashflow Versus Collateral Based Credit: Determinants and Effects on Performance of Micro , Small and Medium Sized Firms In Emerging Markets",0
